yaw,pitch,roll
-37.46,32.81,-22.52
-32.48,30.92,-20.49
-28.48,29.47,-18.86
-24.45,23.58,-16.05
-22.65,3.31,-6.43
-14.94,-45.78,8.71
116.22,-104.17,122.51
113.94,-108.7,119.1
-18.83,-17.15,12.45
-42.48,44.38,-20.1
